abandon|từ bỏ, bỏ rơi|desert, forsake, leave
introvert|người hướng nội|loner, shy person
inundate|làm ngập lụt, tràn ngập|flood, overwhelm, swamp
inure|làm cho quen, có hiệu lực|accustom, harden, habituate
invective|lời chửi rủa, thóa mạ|abuse, insults, vituperation
inveigle|dụ dỗ, lừa gạt|coax, cajole, wheedle
invent|phát minh, sáng chế|create, devise, originate
inventory|hàng tồn kho, bảng kiểm kê|stock, list, record
inverse|đảo ngược|opposite, reverse, converse
invert|lộn ngược|overturn, flip, reverse
invest|đầu tư|spend, fund, endow
investigate|điều tra|examine, explore, probe
inveterate|thâm căn cố đế, thành thói quen|habitual, chronic, entrenched
invidious|đáng ghét, gây ác cảm|hateful, unfair, offensive
invigorate|tiếp thêm sinh lực|energize, stimulate, refresh
invincible|vô địch, không thể đánh bại|unbeatable, unconquerable, indomitable
inviolable|bất khả xâm phạm|sacred, holy, untouchable
invisible|vô hình|unseen, hidden, concealed
invite|mời mọc|ask, request, welcome
invoke|cầu khẩn, gọi hồn|call upon, summon, conjure
involuntary|ngoài ý muốn, vô thức|automatic, reflex, unconscious
involve|liên quan, bao gồm|include, entail, implicate
invulnerable|không thể bị tổn thương|impenetrable, invincible, safe
irascible|nóng nảy, dễ cáu|irritable, testy, touchy
irate|tức giận|angry, furious, enraged
ire|sự tức giận|anger, rage, wrath
irksome|khó chịu, phiền phức|annoying, irritating, bothersome
ironic|mỉa mai|sarcastic, sardonic, paradoxical
irony|sự mỉa mai|sarcasm, satire, paradox
irrational|phi lý|illogical, unreasonable, senseless
irreconcilable|không thể hòa giải|incompatible, conflicting, opposing
irrefutable|không thể bác bỏ|undeniable, indisputable, certain
irregular|không đều, bất thường|uneven, erratic, abnormal
irrelevant|không liên quan|unconnected, extraneous, beside the point
irreparable|không thể sửa chữa|unfixable, irreversible, ruined
irreproachable|hoàn hảo, không thể chê trách|faultless, blameless, impeccable
irresolute|do dự, thiếu quyết đoán|hesitant, undecided, wavering
irreverent|thiếu tôn kính|disrespectful, impudent, insolent
irrevocable|không thể thay đổi|unalterable, irreversible, final
irrigate|tưới tiêu|water, flood, soak
irritate|làm phát cáu|annoy, bother, provoke
isolate|cô lập, cách ly|separate, segregate, quarantine
issue|vấn đề, phát hành|problem, matter, release
itemize|ghi thành từng khoản|list, detail, enumerate
itinerant|lưu động, lang thang|traveling, wandering, nomadic
itinerary|hành trình|schedule, route, plan

jabber|nói lảm nhảm, ba hoa|chatter, babble, gabble, prattle
jade|làm mệt lử, kiệt sức|exhaust, tire, weary, fatigue, drain
jaded|mệt mỏi, chán ngấy|exhausted, tired, weary, bored, sated
jagged|bấp bênh, có răng cưa|rough, uneven, pointed, sharp, barbed
jail|nhà tù, bỏ tù|prison, penitentiary, imprison, incarcerate, detain
jam|nhồi nhét, mắc kẹt|pack, squeeze, wedge, block, obstruct
jangle|tiếng loảng xoảng, tranh cãi|clank, rattle, clash, argue, quarrel
jar|va chạm, làm chấn động|jolt, shake, rattle, clash, shock
jargon|thuật ngữ chuyên môn|slang, lingo, terminology, argot
jaundiced|có ác cảm, thiên vị|biased, prejudiced, cynical, bitter, resentful
jaunt|cuộc đi chơi ngắn|excursion, trip, outing, stroll, ramble
jaunty|vui vẻ, hoạt bát|cheerful, lively, sprightly, carefree, perky
jealous|ghen tị, ghen tuông|envious, resentful, suspicious, covetous
jealousy|lòng ghen tị|envy, resentment, bitterness, covetousness
jeer|cười nhạo, chế giễu|mock, taunt, scoff, ridicule, sneer
jejune|tẻ nhạt, non nớt|naive, dry, dull, insipid, immature
jeopardize|gây nguy hiểm, liều lĩnh|endanger, risk, imperil, threaten, hazard
jeopardy|mối nguy hiểm|danger, peril, risk, hazard, vulnerability
jerk|giật mạnh, đột ngột|tug, pull, twitch, jolt, wrench
jest|trò đùa, nói đùa|joke, prank, banter, quip, witticism
jester|người hay pha trò|clown, joker, buffoon, comic
jettison|vứt bỏ, loại bỏ|discard, eject, dump, abandon, throw away
jittery|bồn chồn, lo lắng|nervous, anxious, edgy, uneasy, restless
job|công việc, nghề nghiệp|occupation, profession, career, task, employment
jocose|khôi hài, khôi vĩ|humorous, witty, jocular, funny, playful
jocund|vui tươi, hớn hở|cheerful, merry, jolly, jovial, glad
jog|chạy bộ, thúc nhẹ|run, trot, nudge, push, remind
join|tham gia, kết nối|connect, unite, link, combine, attach
joint|chung, đầu nối|combined, shared, mutual, junction, connection
joke|trò đùa|jest, prank, witticism, gag, quip
jolly|vui vẻ, rộn ràng|merry, cheerful, jovial, festive, joyful
jolt|làm giật mình, xóc nảy|shock, startle, jar, shake, jerk
jostle|chen lấn, xô đẩy|shove, push, elbow, crowd, scramble
jot|ghi chép nhanh|write, note, scribble, record
journal|nhật ký, báo chí|diary, log, magazine, periodical, newspaper
journey|cuộc hành trình|trip, travel, voyage, tour, expedition
jovial|vui vẻ, hảo sảng|cheerful, jolly, merry, friendly, genial
joy|niềm vui, sự vui sướng|happiness, delight, pleasure, bliss, glee
joyful|vui sướng, hân hoan|happy, delighted, cheerful, glad, ecstatic
joyless|u sầu, không niềm vui|sad, gloomy, dismal, cheerless, miserable
jubilant|vui mừng khôn xiết|ecstatic, triumphant, overjoyed, thrilled, exultant
jubilee|lễ kỷ niệm, ngày hội|celebration, anniversary, festival, gala
judge|đánh giá, thẩm phán|evaluate, assess, estimate, justice, magistrate
judgment|sự phán quyết, đánh giá|decision, verdict, assessment, opinion, discernment
judicious|sáng suốt, khôn ngoan|wise, prudent, sensible, shrewd, sagacious
juggle|bịt mắt bắt dê, xoay xở|manipulate, alter, manage, balance
juicy|nhiều nước, hấp dẫn|succulent, moist, lush, interesting, scandalous
jumble|lộn xộn, mớ hỗn độn|muddle, mess, mix, tangle, shuffle
jump|nhảy, bật lên|leap, bound, hop, skip, vault
jumpy|bồn chồn, căng thẳng|nervous, jittery, anxious, edgy, tense
junction|giao lộ, điểm nối|intersection, junction, connection, link, crossroads
juncture|thời điểm quan trọng|crisis, turning point, stage, moment
jungle|rừng rậm, mớ bòng bong|forest, woods, maze, wilderness
junior|cấp dưới, trẻ hơn|subordinate, lower, younger, minor
junk|rác rưởi, đồ bỏ đi|rubbish, waste, garbage, debris, refuse
jurisdiction|thẩm quyền, quyền hạn|authority, power, control, command, dominion
just|công bằng, vừa vặn|fair, impartial, objective, righteous, exact
justice|sự công bằng, tư pháp|fairness, equity, law, legality, righteousness
justifiable|chính đáng, hợp lý|defensible, reasonable, valid, legitimate, acceptable
justification|sự biện minh, lý do|excuse, reason, defense, warrant, explanation
justify|biện minh, chứng minh|excuse, defend, warrant, vindicate, validate
jut|nhô ra, lồi ra|project, protrude, stick out, extend
juvenile|vị thành niên, trẻ con|youthful, young, childish, immature, adolescent
juxtapose|đặt cạnh nhau|compare, contrast, collate, pair
jack|cái kích (ô tô), nâng lên|lift, hoist, elevate
jacket|áo khoác|coat, wrap, covering
jade|ngọc bích, làm mệt mỏi|green stone, tire, exhaust
jaded|mệt mỏi, chán ngấy|exhausted, bored, weary
jail|nhà tù|prison, lockup, penitentiary
jam|mứt, mắc kẹt|preserves, block, crowd
janitor|người gác cổng, lao công|caretaker, custodian, cleaner
jar|lọ thủy tinh, làm chấn động|jug, vessel, shock, shake
jargon|thuật ngữ|slang, lingo, vocabulary
jaundiced|có thành kiến, vàng da|biased, prejudiced, cynical
jaunt|chuyến đi ngắn|trip, excursion, outing
jaunty|vui nhộn, hớn hở|cheerful, lively, sprightly
jaw|hàm|bone, mouth, talk
jazz|nhạc jazz, sự sôi động|music, excitement, energy
jealous|ghen tị|envious, covetous, resentful
jealousy|lòng ghen tị|envy, resentment, spite
jeer|cười nhạo, chế giễu|mock, taunt, scoff
jejune|tẻ nhạt, non nớt|dull, boring, immature
jelly|thạch|gelatin, jam, preserve
jeopardize|gây nguy hiểm|endanger, risk, threaten
jeopardy|sự nguy hiểm|danger, peril, risk
jerk|giật mạnh, kẻ ngốc|pull, tug, idiot
jest|trò đùa, nói đùa|joke, prank, quip
jet|máy bay phản lực, tia (nước)|airplane, stream, spurt
jettison|vứt bỏ (hàng hóa)|discard, dump, throw away
jewel|trang sức, đá quý|gem, stone, treasure
jewelry|đồ trang sức|gems, ornaments, jewels
jingle|tiếng leng keng, bài hát quảng cáo|clink, tinkle, tune
job|công việc|occupation, profession, task
jocular|vui vẻ, khôi hài|humorous, funny, joking
jog|chạy bộ, huých nhẹ|run, trot, nudge
join|tham gia, kết nối|connect, unite, link
joint|khớp, chung|connection, mutual, shared
joke|trò đùa|jest, prank, gag
jolly|vui vẻ|merry, cheerful, jovial
jolt|làm xóc, làm giật mình|shake, jerk, shock
journal|tạp chí, nhật ký|diary, magazine, log
journalism|ngành báo chí|reporting, news, media
journalist|nhà báo|reporter, correspondent, writer
journey|chuyến đi|trip, travel, voyage
jovial|vui vẻ, thân thiện|cheerful, friendly, jolly
joy|niềm vui|happiness, delight, pleasure
joyful|vui vẻ|happy, glad, delighted
jubilant|vui mừng khôn xiết|overjoyed, triumphant, ecstatic
judge|thẩm phán, đánh giá|magistrate, evaluate, assess
judgment|sự phán xét, quyết định|verdict, decision, evaluation
judicial|thuộc tòa án, tư pháp|legal, official, court
judicious|sáng suốt, khôn ngoan|wise, sensible, prudent
jug|cái bình|pitcher, jar, vessel
juggernaut|sức mạnh tàn phá|force, steamroller, behemoth
juggle|tung hứng, xoay xở|manipulate, balance, handle
juice|nước ép|liquid, extract, sap
juicy|nhiều nước, hấp dẫn|succulent, moist, interesting
jumble|sự lộn xộn, làm lộn xộn|mix, muddle, mess
jump|nhảy|leap, bound, hop
junction|chỗ giao nhau|intersection, connection, joint
juncture|thời điểm quan trọng|moment, point, crisis
jungle|rừng rậm|forest, woods, wilderness
junior|cấp dưới, ít tuổi hơn|younger, subordinate, lower
junk|rác rưởi|rubbish, trash, garbage
jurisdiction|thẩm quyền|authority, control, power
jury|bồi thẩm đoàn|panel, board, committee
just|công bằng, vừa mới|fair, unbiased, recently
justice|công lý, sự công bằng|fairness, equity, law
justifiable|chính đáng|defensible, reasonable, valid
justification|sự biện minh|excuse, reason, defense
justify|biện minh, bào chữa|defend, excuse, warrant
jut|nhô ra|project, protrude, stick out
juvenile|vị thành niên|young, youthful, childish
juxtapose|đặt cạnh nhau|compare, contrast, collate

keen|nhạy bén, mãnh liệt|sharp, acute, eager, enthusiastic, intense
keep|giữ lại, duy trì|retain, hold, preserve, maintain, continue
keeper|người canh giữ, bảo vệ|guard, custodian, caretaker, warden, defender
keepsake|vật kỷ niệm|memento, souvenir, token, remembrance
ken|tầm hiểu biết, tri thức|knowledge, understanding, perception, view, sight
kernel|hạt nhân, cốt lõi|core, grain, seed, essence, nucleus
key|then chốt, quan trọng|crucial, essential, vital, main, principal
kick|đá, kích động|boot, punt, strike, thrill, excitement
kid|trẻ con, nói đùa|child, youngster, tot, joke, tease
kidnap|bắt cóc|abduct, seize, capture, snatch
kill|giết chết, tiêu diệt|slay, murder, assassinate, slaughter, execute
kin|họ hàng, người thân|relatives, family, relations, kindred, folks
kind|tử tế, loại|benevolent, gentle, sort, type, variety
kindle|nhen nhóm, đốt cháy|ignite, light, spark, inflame, arouse
kindly|tử tế, tốt bụng|benevolent, gracious, warm, genial, cordially
kindness|lòng tốt, sự tử tế|benevolence, compassion, goodwill, grace, gentleness
kindred|cùng loại, họ hàng|related, similar, allied, kin, family
kinetic|thuộc động lực, di động|moving, active, dynamic, lively
king|vua, người đứng đầu|monarch, ruler, sovereign, chief, leader
kingdom|vương quốc, lĩnh vực|realm, empire, domain, sphere, province
kink|nếp gấp, nút thắt|twist, curl, knot, bend, quirk
kinship|quan hệ họ hàng, sự gắn kết|affinity, relationship, bond, connection, alliance
kismet|vận mệnh, số phận|fate, destiny, fortune, lot
kiss|nụ hôn, chạm nhẹ|peck, caress, touch, salute
knack|sở trường, sự khéo tay|skill, talent, ability, aptitude, expertise
knave|kẻ gian xảo, ranh ma|scoundrel, rogue, rascal, villain, cheat
knavish|gian xảo, lừa lọc|dishonest, rascally, deceitful, unprincipled, rogue
